event,outcome,variable,n_pos,n_neg,med_pos,iqr_pos,med_neg,iqr_neg,mean_pos,mean_neg,cohen_d,auc,auc_lo,auc_hi,meaningful
fav_1p0,win_given_plus2 (C2),s_from_prev_level,1847,373,52.0,"[17.0, 138.5]",40.0,"[14.0, 110.0]",109.38657282079048,88.24932975871313,0.14535428818309568,0.5424969989737725,0.5092656546073329,0.5740495783416568,False
fav_1p0,win_given_plus2 (C2),mae_through_touch,1847,373,0.42011292997540867,"[0.16663337206488799, 0.8135380568324369]",0.4259569710295879,"[0.1674583514975746, 0.9517949539519331]",0.5602067227187961,0.6561430042757131,-0.16993569967532854,0.47787441703160405,0.44025180194990016,0.5109255547032153,False
fav_1p0,win_given_plus2 (C2),adv0p5_before,1847,373,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.43854899837574446,0.46648793565683644,-0.05622848625549903,0.486030531359454,0.45660201192357475,0.5113865660463799,False
fav_1p0,win_given_plus2 (C2),adv1_before,1847,373,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.1765024363833243,0.23324396782841822,-0.14596561543454667,0.471629234277453,0.44656634303625253,0.4926346452888966,False
fav_1p0,win_given_plus2 (C2),aligned_5m,1764,369,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4331065759637188,0.46070460704607047,-0.05561326283938171,0.4862009844588242,0.4578214276668152,0.513286866727473,False
fav_1p0,win_given_plus2 (C2),aligned_15m,1764,371,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4699546485260771,0.4609164420485175,0.01810459956298531,0.5045191032387798,0.47746481651637707,0.5334487460547795,False
fav_1p0,win_given_plus2 (C2),aligned_1h,1765,371,1.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.5025495750708215,0.46630727762803237,0.07248001881129734,0.5181211487213946,0.4901537862666302,0.545008777977935,False
fav_1p0,win_given_plus2 (C2),trans_5m,1764,369,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.026077097505668934,0.018970189701897018,0.045641824911851724,0.503553453901886,0.49538241561035096,0.5100384018582372,False
fav_1p5,reach_plus2,t_since_t0_s,2220,571,246.0,"[125.75, 429.25]",269.0,"[139.5, 486.5]",316.64774774774776,346.7197898423818,-0.11284117933747169,0.4668043262176362,0.44081563658272327,0.49470373810311846,False
fav_1p5,reach_plus2,s_from_prev_level,2220,571,44.0,"[15.0, 132.0]",51.0,"[13.0, 154.0]",109.29234234234234,121.30998248686515,-0.07124210656978872,0.48863697322541455,0.45909065927299963,0.5152453082633499,False
fav_1p5,reach_plus2,mae_through_touch,2220,571,0.4648163955160234,"[0.1925794931427902, 0.8803095377827763]",0.4841521068839576,"[0.20699043469542378, 0.8808642366385085]",0.6106460118809166,0.621683447580821,-0.019421648646583748,0.48659140751960367,0.4596527220113029,0.5111447998512261,False
fav_1p5,reach_plus2,adv0p5_before,2220,571,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4743243243243243,0.4938704028021016,-0.039119797924785926,0.4902269607611114,0.4673583160055683,0.5124690822597416,False
fav_1p5,reach_plus2,adv1_before,2220,571,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.2009009009009009,0.19089316987740806,0.02506568772966397,0.5050038655117465,0.4875870530678672,0.5212313011830201,False
fav_1p5,reach_plus2,aligned_5m,2133,555,0.0,"[0.0, 1.0]",1.0,"[0.0, 1.0]",0.46788560712611343,0.5099099099099099,-0.0841586125768315,0.4789878486081018,0.45581006771900023,0.5023745170966053,False
fav_1p5,reach_plus2,aligned_15m,2135,555,0.0,"[0.0, 1.0]",1.0,"[0.0, 1.0]",0.47259953161592505,0.5027027027027027,-0.06025599229126107,0.4849484144566112,0.46155784168400216,0.5097746388581162,False
fav_1p5,reach_plus2,aligned_1h,2136,555,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.49719101123595505,0.4954954954954955,0.0033898419425816995,0.5008477578702297,0.47903690502285956,0.5212751162620965,False
fav_1p5,reach_plus2,trans_5m,2133,555,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.05485232067510549,0.06306306306306306,-0.03553846021849986,0.4958946288060212,0.48612379374452525,0.5063035282103185,False
fav_1p5,reach_plus3,t_since_t0_s,1440,1351,239.0,"[120.0, 414.0]",267.0,"[137.5, 469.0]",307.76944444444445,338.82087342709104,-0.1165931367705064,0.4620982913890945,0.44282915735942746,0.48216331679725943,False
fav_1p5,reach_plus3,s_from_prev_level,1440,1351,43.0,"[13.0, 123.25]",49.0,"[15.0, 148.0]",106.54930555555555,117.29533678756476,-0.06370982646850536,0.4781833415576939,0.45649059026282945,0.4992481664990044,False
fav_1p5,reach_plus3,mae_through_touch,1440,1351,0.4661326200804204,"[0.18881665906125727, 0.8846405343767877]",0.4740614117513292,"[0.2009426365413353, 0.8762879581737607]",0.6089682640548368,0.6170992558884667,-0.01430735002773889,0.489781746031746,0.46953041937432316,0.50984076301237,False
fav_1p5,reach_plus3,adv0p5_before,1440,1351,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.47638888888888886,0.48038490007401924,-0.007996740823972415,0.4980019944074348,0.4802441142249518,0.5154304114357057,False
fav_1p5,reach_plus3,adv1_before,1440,1351,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.2013888888888889,0.19615099925980756,0.013118599291778936,0.5026189448145407,0.48836960314983097,0.5180718805503869,False
