anchor,block,lag,outcome,rho_raw,rho_null,rho_residual
3.0,discovery,trig_pos,giveback,-0.4910076634018499,-0.6906715818363319,-0.2995621370221296
3.0,discovery,trig_pos,add_mfe,-0.14798955296542246,-0.40161655680867014,-0.04842129132607763
3.0,discovery,price_to_trig,final_pnl,-0.05474964636761404,0.07662221894812346,-0.07620334858653074
3.0,discovery,price_to_trig,giveback,0.48637606074858697,0.6929468022119177,0.292906449757218
3.0,discovery,price_to_trig,add_mfe,0.15757329287388666,0.43126850020665203,0.04427586491807857
3.0,discovery,mfe_to_trig,final_pnl,-0.06591369500681085,0.048110097582563495,-0.08302307794814669
3.0,discovery,mfe_to_trig,giveback,0.5028010087473885,0.6970528998288471,0.3112128366688011
3.0,discovery,mfe_to_trig,add_mfe,0.14813239263064346,0.3954660749647156,0.05051736142656301
3.0,discovery,catchup1,final_pnl,0.05001822715435167,0.0623190057593875,0.039134569175623565
3.0,discovery,catchup1,giveback,0.17413096898719632,0.3033563188470915,0.0757073378585359
3.0,discovery,catchup1,add_mfe,0.12310803865179373,0.25520505536283666,0.05425714284147453
3.0,replication,trig_pos,final_pnl,-0.04682636165450009,-0.08625691859003957,-0.02931933347750107
3.0,replication,trig_pos,giveback,-0.4192817524562091,-0.7031748072730675,-0.2074261968357131
3.0,replication,trig_pos,add_mfe,-0.22819586355805568,-0.466976335061398,-0.11988316568963805
3.0,replication,price_to_trig,final_pnl,0.04815426337107022,0.1492781872271285,0.01755962991753216
3.0,replication,price_to_trig,giveback,0.42139546572996606,0.7119318281442693,0.20723799949736119
3.0,replication,price_to_trig,add_mfe,0.22960713549971987,0.5038972045097226,0.10997767348346262
3.0,replication,mfe_to_trig,final_pnl,0.05480984470797267,0.11449996200985407,0.030490014436255465
3.0,replication,mfe_to_trig,giveback,0.43303827653319465,0.7198726453415315,0.2166689071111709
3.0,replication,mfe_to_trig,add_mfe,0.2351280173075429,0.46233043244475364,0.1251632115115987
3.0,replication,catchup1,final_pnl,-0.0060918660175222255,0.10626720515263273,-0.027319882873457747
3.0,replication,catchup1,giveback,0.22639847571845217,0.4136516128278111,0.10809803795507814
3.0,replication,catchup1,add_mfe,0.1074866677773036,0.3548793958982332,0.02531458763157741
