anchor,block,excl_last_hour,outcome,kind,slow_minus_fast,lo,hi
3.0,pooled,False,add_mfe,null,-0.32489378047270867,-0.3834786179935935,-0.26496803353152804
3.0,pooled,False,add_mfe,res,-0.46274720208207537,-0.8486010701729068,-0.08241502366157644
3.0,pooled,True,final_pnl,real,0.056767727263378726,-0.2992760590892277,0.42578450743611196
3.0,pooled,True,final_pnl,null,-0.039902202446444074,-0.09292211196735459,0.010017510813481319
3.0,pooled,True,final_pnl,res,0.09666992970982252,-0.2699139781987771,0.47682247978596587
3.0,pooled,True,giveback,real,-0.9071051342168885,-1.070246399070179,-0.7426204859194196
3.0,pooled,True,giveback,null,-0.33388259693009487,-0.3729789368172708,-0.2989775410883722
3.0,pooled,True,giveback,res,-0.5732225372867934,-0.7336618270768849,-0.4291512615103534
3.0,pooled,True,add_mfe,real,-0.8013112011426613,-1.1794808893296225,-0.43898352687706416
3.0,pooled,True,add_mfe,null,-0.32475859356569026,-0.3828781820636593,-0.26688100702530776
3.0,pooled,True,add_mfe,res,-0.47655260757697104,-0.8731302351481831,-0.0875329349447465
